acnotype,acno,acnoname,acnobnkcd,acnobnknm,cnprtacnotype,cnprtacno,cnprtname,cnprtbnkcd,cnprtbnknm,tranymd,tranprcssyms,rapdstcd,prdctctrcnth,transerno,ecaltrancncdcd,chnldstcd,chnidtalsbzwkdstcd,tranamt,cshtrferdstcd,hndinbnkcd,hndinbrncd,tranafbal,acncustidnfr,acncustmgtno,ntrcsumrydstcd,sumry,cardno,tranuno
01,110777888999,조은비,088,신한은행,01,110444555666,강민지,020,우리은행,20251215,20251215101737009579,2,1,100026,0,02,01,1422914,0,088,9012,7064706,C000000007,00007,001,대출상환,,U505243
01,110444555666,강민지,020,우리은행,01,110777888999,조은비,088,신한은행,20251215,20251215101737009579,1,1,100027,0,02,01,1422914,0,020,7890,5427453,C000000006,00006,002,대출상환,,U244559
01,110222333444,윤서준,081,하나은행,01,110999000111,송하은,004,국민은행,20250412,20250412153716363655,2,1,100028,0,04,01,619270,0,081,4567,5391165,C000000008,00008,001,교통비,,U332502
01,110999000111,송하은,004,국민은행,01,110222333444,윤서준,081,하나은행,20250412,20250412153716363655,1,1,100029,0,04,01,619270,0,004,3456,2437984,C000000010,00010,002,교통비,,U618470
01,110555666777,이민수,020,우리은행,01,110777888999,조은비,088,신한은행,20250122,20250122130434395479,2,1,100030,0,04,01,98255,0,020,8901,10229884,C000000003,00003,001,교통비,,U940720
01,110777888999,조은비,088,신한은행,01,110555666777,이민수,020,우리은행,20250122,20250122130434395479,1,1,100031,0,04,01,98255,0,088,1234,7162961,C000000007,00007,002,교통비,,U565354
01,110333222111,문지훈,004,국민은행,01,110234567890,김철수,004,국민은행,20250723,20250723152733707534,2,1,100032,0,02,01,49805,0,004,2345,6075240,C000000020,00020,001,투자금,,U202685
01,110234567890,김철수,004,국민은행,01,110333222111,문지훈,004,국민은행,20250723,20250723152733707534,1,1,100033,0,02,01,49805,0,004,2345,2228186,C000000001,00001,002,투자금,,U620149
01,110987654321,박영희,004,국민은행,01,110888777666,오채원,088,신한은행,20251025,20251025091535792035,2,1,100034,0,01,01,37326,0,004,3456,2344010,C000000002,00002,001,투자금,,U400325
01,110888777666,오채원,088,신한은행,01,110987654321,박영희,004,국민은행,20251025,20251025091535792035,1,1,100035,0,01,01,37326,0,088,2345,12516391,C000000012,00012,002,투자금,,U400671
01,110444333222,장민석,020,우리은행,01,110444555666,강민지,020,우리은행,20250401,20250401161633413271,2,1,100036,0,01,01,435456,0,020,5678,949521,C000000016,00016,001,선물,,U850265
01,110444555666,강민지,020,우리은행,01,110444333222,장민석,020,우리은행,20250401,20250401161633413271,1,1,100037,0,01,01,435456,0,020,8901,5862909,C000000006,00006,002,선물,,U636894
01,110666555444,노태양,081,하나은행,02,ATM5318740904,ATM강남점,081,하나은행,20250927,20250927164647114646,2,1,100038,0,03,02,4226041,1,081,6789,3139868,C000000018,00018,001,공과금,8787531120036664,U983762
01,110888999000,최지훈,088,신한은행,01,110888777666,오채원,088,신한은행,20251020,20251020145227038689,2,1,100039,0,02,01,217377,0,088,0123,1538086,C000000004,00004,001,상환금,,U198690
01,110888777666,오채원,088,신한은행,01,110888999000,최지훈,088,신한은행,20251020,20251020145227038689,1,1,100040,0,02,01,217377,0,088,1234,12733768,C000000012,00012,002,상환금,,U320640
01,110111000999,권나연,088,신한은행,01,110999888777,배수지,011,농협은행,20250904,20250904133142129338,2,1,100041,0,04,01,70140,0,088,1234,5856052,C000000017,00017,001,송금,,U646309
01,110999888777,배수지,011,농협은행,01,110111000999,권나연,088,신한은행,20250904,20250904133142129338,1,1,100042,0,04,01,70140,0,011,9012,2678717,C000000019,00019,002,송금,,U418198
01,110222333444,윤서준,081,하나은행,01,110444333222,장민석,020,우리은행,20250420,20250420104409282653,2,1,100043,0,01,01,282761,0,081,4567,5108404,C000000008,00008,001,물품대금,,U969055
01,110444333222,장민석,020,우리은행,01,110222333444,윤서준,081,하나은행,20250420,20250420104409282653,1,1,100044,0,01,01,282761,0,020,8901,1232282,C000000016,00016,002,물품대금,,U239805
01,110987654321,박영희,004,국민은행,01,110222333444,윤서준,081,하나은행,20250616,20250616111726569389,2,1,100045,0,04,01,52360,0,004,2345,2291650,C000000002,00002,001,생활비,,U632888
01,110222333444,윤서준,081,하나은행,01,110987654321,박영희,004,국민은행,20250616,20250616111726569389,1,1,100046,0,04,01,52360,0,081,4567,5160764,C000000008,00008,002,생활비,,U114568
01,110222111000,안유진,011,농협은행,01,110111222333,정수민,004,국민은행,20250502,20250502105455367319,2,1,100047,0,01,01,64335,0,011,8901,4197221,C000000014,00014,001,공과금,,U388758
01,110111222333,정수민,004,국민은행,01,110222111000,안유진,011,농협은행,20250502,20250502105455367319,1,1,100048,0,01,01,64335,0,004,2345,5706824,C000000005,00005,002,공과금,,U369361
01,110999888777,배수지,011,농협은행,01,110777888999,조은비,088,신한은행,20250412,20250412151231804865,2,1,100049,0,04,01,861984,0,011,0123,1816733,C000000019,00019,001,교통비,,U512998
01,110777888999,조은비,088,신한은행,01,110999888777,배수지,011,농협은행,20250412,20250412151231804865,1,1,100050,0,04,01,861984,0,088,2345,8024945,C000000007,00007,002,교통비,,U678448
01,110444555666,강민지,020,우리은행,01,110777666555,홍시우,004,국민은행,20250523,20250523092921663132,2,1,100051,0,01,01,131229,0,020,7890,5731680,C000000006,00006,001,물품대금,,U536555
01,110777666555,홍시우,004,국민은행,01,110444555666,강민지,020,우리은행,20250523,20250523092921663132,1,1,100052,0,01,01,131229,0,004,2345,106012,C000000015,00015,002,물품대금,,U449368
01,110888999000,최지훈,088,신한은행,01,110333222111,문지훈,004,국민은행,20250516,20250516104706583652,2,1,100053,0,04,01,154380,0,088,2345,1383706,C000000004,00004,001,임대료,,U533499
01,110333222111,문지훈,004,국민은행,01,110888999000,최지훈,088,신한은행,20250516,20250516104706583652,1,1,100054,0,04,01,154380,0,004,3456,6229620,C000000020,00020,002,임대료,,U499889
01,110777666555,홍시우,004,국민은행,01,110444333222,장민석,020,우리은행,20250724,20250724131747345059,2,1,100055,0,04,01,250767,0,004,3456,2098177,C000000015,00015,001,부동산거래,,U602565
01,110444333222,장민석,020,우리은행,01,110777666555,홍시우,004,국민은행,20250724,20250724131747345059,1,1,100056,0,04,01,250767,0,020,7890,1483049,C000000016,00016,002,부동산거래,,U513742
01,110666555444,노태양,081,하나은행,02,ATM3928132202,ATM종로점,081,하나은행,20250924,20250924131416968112,2,1,100057,0,03,02,590355,1,081,3456,2549513,C000000018,00018,001,식비,8772775519522644,U732965
01,110999000111,송하은,004,국민은행,02,ATM6300591047,ATM명동점,004,국민은행,20250215,20250215143606303059,2,1,100058,0,03,02,208440,1,004,4567,2229544,C000000010,00010,001,컨설팅비,9597398087577562,U445080
01,110222333444,윤서준,081,하나은행,01,110333222111,문지훈,004,국민은행,20250731,20250731121441308352,2,1,100059,0,01,01,40547,0,081,5678,5120217,C000000008,00008,001,협력금,,U192899
01,110333222111,문지훈,004,국민은행,01,110222333444,윤서준,081,하나은행,20250731,20250731121441308352,1,1,100060,0,01,01,40547,0,004,3456,6270167,C000000020,00020,002,협력금,,U567896
01,110999000111,송하은,004,국민은행,02,ATM8178781763,ATM을지로점,004,국민은행,20250202,20250202105535573884,2,1,100061,0,03,02,746606,1,004,1234,1482938,C000000010,00010,001,프로젝트비용,3484415758258674,U220067
01,110987654321,박영희,004,국민은행,02,ATM4482702751,ATM종로점,004,국민은행,20250722,20250722170544045981,2,1,100062,0,03,02,129392,1,004,4567,2162258,C000000002,00002,001,선물,7204088985065432,U365401
01,110888777666,오채원,088,신한은행,01,110999000111,송하은,004,국민은행,20250915,20250915123349367214,2,1,100063,0,04,01,238108,0,088,1234,12495660,C000000012,00012,001,공과금,,U296796
01,110999000111,송하은,004,국민은행,01,110888777666,오채원,088,신한은행,20250915,20250915123349367214,1,1,100064,0,04,01,238108,0,004,2345,1721046,C000000010,00010,002,공과금,,U272607
01,110666555444,노태양,081,하나은행,01,110666777888,한지우,011,농협은행,20250127,20250127122725278640,2,1,100065,0,02,01,3417176,0,081,3456,898089,C000000018,00018,001,통신비,,U453768
01,110666777888,한지우,011,농협은행,01,110666555444,노태양,081,하나은행,20250127,20250127122725278640,1,1,100066,0,02,01,3417176,0,011,8901,6020995,C000000009,00009,002,통신비,,U468238
01,110333444555,임도현,020,우리은행,01,110444555666,강민지,020,우리은행,20250123,20250123110518312205,2,1,100067,0,01,01,1633868,0,020,7890,2472370,C000000011,00011,001,서비스비용,,U662784
01,110444555666,강민지,020,우리은행,01,110333444555,임도현,020,우리은행,20250123,20250123110518312205,1,1,100068,0,01,01,1633868,0,020,6789,7365548,C000000006,00006,002,서비스비용,,U380868
01,110234567890,김철수,004,국민은행,02,ATM1580622518,ATM을지로점,004,국민은행,20250607,20250607093537492643,2,1,100069,0,03,02,3387926,1,004,2345,623926,C000000001,00001,001,통신비,2724143900285884,U846091
01,110111000999,권나연,088,신한은행,01,110444555666,강민지,020,우리은행,20250711,20250711131337349152,2,1,100070,0,01,01,482920,0,088,9012,5373132,C000000017,00017,001,급여이체,,U142683
01,110444555666,강민지,020,우리은행,01,110111000999,권나연,088,신한은행,20250711,20250711131337349152,1,1,100071,0,01,01,482920,0,020,6789,7848468,C000000006,00006,002,급여이체,,U812112
01,110666555444,노태양,081,하나은행,01,110888777666,오채원,088,신한은행,20250220,20250220132505521823,2,1,100072,0,04,01,65765,0,081,4567,832324,C000000018,00018,001,협력금,,U116343
01,110888777666,오채원,088,신한은행,01,110666555444,노태양,081,하나은행,20250220,20250220132505521823,1,1,100073,0,04,01,65765,0,088,0123,12561425,C000000012,00012,002,협력금,,U157129
01,110666555444,노태양,081,하나은행,01,110333222111,문지훈,004,국민은행,20250106,20250106132051771863,2,1,100074,0,02,01,1435871,0,081,6789,912858,C000000018,00018,001,물품대금,,U481887
01,110333222111,문지훈,004,국민은행,01,110666555444,노태양,081,하나은행,20250106,20250106132051771863,1,1,100075,0,02,01,1435871,0,004,4567,7706038,C000000020,00020,002,물품대금,,U168844
01,110555666777,이민수,020,우리은행,01,110888777666,오채원,088,신한은행,20250607,20250607153124641399,2,1,100076,0,04,01,198418,0,020,7890,10031466,C000000003,00003,001,물품대금,,U645131
01,110888777666,오채원,088,신한은행,01,110555666777,이민수,020,우리은행,20250607,20250607153124641399,1,1,100077,0,04,01,198418,0,088,2345,12759843,C000000012,00012,002,물품대금,,U667047
01,110555444333,서준호,081,하나은행,01,110222333444,윤서준,081,하나은행,20250926,20250926094022020337,2,1,100078,0,04,01,1684151,0,081,3456,1696824,C000000013,00013,001,투자금,,U629007
01,110222333444,윤서준,081,하나은행,01,110555444333,서준호,081,하나은행,20250926,20250926094022020337,1,1,100079,0,04,01,1684151,0,081,5678,6804368,C000000008,00008,002,투자금,,U537756
01,110888777666,오채원,088,신한은행,01,110222111000,안유진,011,농협은행,20251217,20251217152309366490,2,1,100080,0,01,01,26809,0,088,2345,12733034,C000000012,00012,001,상환금,,U119026
01,110222111000,안유진,011,농협은행,01,110888777666,오채원,088,신한은행,20251217,20251217152309366490,1,1,100081,0,01,01,26809,0,011,9012,4224030,C000000014,00014,002,상환금,,U631665
01,110111000999,권나연,088,신한은행,01,110666555444,노태양,081,하나은행,20250907,20250907122301044225,2,1,100082,0,02,01,45992,0,088,2345,5327140,C000000017,00017,001,투자금,,U918605
01,110666555444,노태양,081,하나은행,01,110111000999,권나연,088,신한은행,20250907,20250907122301044225,1,1,100083,0,02,01,45992,0,081,5678,958850,C000000018,00018,002,투자금,,U155442
01,110234567890,김철수,004,국민은행,02,ATM2853131430,ATM을지로점,004,국민은행,20250416,20250416140528602654,2,1,100084,0,03,02,4466496,1,004,1234,-2213338,C000000001,00001,001,식비,1250789339140347,U321361
01,110333222111,문지훈,004,국민은행,01,110666555444,노태양,081,하나은행,20250409,20250409134754141054,2,1,100085,0,04,01,3285420,0,004,4567,4420618,C000000020,00020,001,식비,,U682889
01,110666555444,노태양,081,하나은행,01,110333222111,문지훈,004,국민은행,20250409,20250409134754141054,1,1,100086,0,04,01,3285420,0,081,4567,4244270,C000000018,00018,002,식비,,U640075
01,110222333444,윤서준,081,하나은행,01,110777666555,홍시우,004,국민은행,20250722,20250722165846216927,2,1,100087,0,01,01,17034,0,081,3456,6787334,C000000008,00008,001,보험료,,U914936
01,110777666555,홍시우,004,국민은행,01,110222333444,윤서준,081,하나은행,20250722,20250722165846216927,1,1,100088,0,01,01,17034,0,004,2345,2115211,C000000015,00015,002,보험료,,U936905
01,110777666555,홍시우,004,국민은행,02,ATM9508159763,ATM을지로점,004,국민은행,20250106,20250106095742537370,2,1,100089,0,03,02,327876,1,004,4567,1787335,C000000015,00015,001,컨설팅비,8746154625724276,U695406
01,110777666555,홍시우,004,국민은행,01,110444333222,장민석,020,우리은행,20250830,20250830090454171464,2,1,100090,0,01,01,300472,0,004,3456,1486863,C000000015,00015,001,협력금,,U407990
01,110444333222,장민석,020,우리은행,01,110777666555,홍시우,004,국민은행,20250830,20250830090454171464,1,1,100091,0,01,01,300472,0,020,6789,1783521,C000000016,00016,002,협력금,,U194045
01,110555666777,이민수,020,우리은행,01,110111000999,권나연,088,신한은행,20250124,20250124093148617266,2,1,100092,0,04,01,2210600,0,020,6789,7820866,C000000003,00003,001,교통비,,U586709
01,110111000999,권나연,088,신한은행,01,110555666777,이민수,020,우리은행,20250124,20250124093148617266,1,1,100093,0,04,01,2210600,0,088,1234,7537740,C000000017,00017,002,교통비,,U929093
01,110777666555,홍시우,004,국민은행,02,ATM3162276398,ATM강남점,004,국민은행,20250221,20250221151657305300,2,1,100094,0,03,02,58914,1,004,3456,1427949,C000000015,00015,001,급여이체,3850329024153390,U723512
01,110333444555,임도현,020,우리은행,01,110888777666,오채원,088,신한은행,20251208,20251208142410153317,2,1,100095,0,04,01,366021,0,020,5678,2106349,C000000011,00011,001,식비,,U909611
01,110888777666,오채원,088,신한은행,01,110333444555,임도현,020,우리은행,20251208,20251208142410153317,1,1,100096,0,04,01,366021,0,088,9012,13099055,C000000012,00012,002,식비,,U357923
01,110777666555,홍시우,004,국민은행,01,110999888777,배수지,011,농협은행,20250620,20250620090732575807,2,1,100097,0,01,01,15005,0,004,1234,1412944,C000000015,00015,001,생활비,,U506950
01,110999888777,배수지,011,농협은행,01,110777666555,홍시우,004,국민은행,20250620,20250620090732575807,1,1,100098,0,01,01,15005,0,011,0123,1831738,C000000019,00019,002,생활비,,U424335
01,110888999000,최지훈,088,신한은행,01,110111222333,정수민,004,국민은행,20250618,20250618134148896536,2,1,100099,0,02,01,32583,0,088,2345,1351123,C000000004,00004,001,생활비,,U160977
01,110111222333,정수민,004,국민은행,01,110888999000,최지훈,088,신한은행,20250618,20250618134148896536,1,1,100100,0,02,01,32583,0,004,4567,5739407,C000000005,00005,002,생활비,,U207712
01,110777888999,조은비,088,신한은행,02,ATM7511205780,ATM을지로점,088,신한은행,20250211,20250211165306551044,2,1,100101,0,03,02,4500782,1,088,1234,3524163,C000000007,00007,001,물품대금,8552991434316896,U433579
01,110222111000,안유진,011,농협은행,01,110999000111,송하은,004,국민은행,20251215,20251215122156325854,2,1,100102,0,04,01,418919,0,011,0123,3805111,C000000014,00014,001,송금,,U926735
01,110999000111,송하은,004,국민은행,01,110222111000,안유진,011,농협은행,20251215,20251215122156325854,1,1,100103,0,04,01,418919,0,004,4567,2139965,C000000010,00010,002,송금,,U679626
01,110555444333,서준호,081,하나은행,01,110888777666,오채원,088,신한은행,20250526,20250526163607512623,2,1,100104,0,04,01,2186924,0,081,4567,1689369,C000000013,00013,001,상환금,,U228570
01,110888777666,오채원,088,신한은행,01,110555444333,서준호,081,하나은행,20250526,20250526163607512623,1,1,100105,0,04,01,2186924,0,088,1234,15285979,C000000012,00012,002,상환금,,U236393
01,110987654321,박영희,004,국민은행,02,ATM3558737646,ATM종로점,004,국민은행,20250301,20250301121045315915,2,1,100106,0,03,02,66729,1,004,2345,2095529,C000000002,00002,001,임대료,5071027435148907,U237733
01,110666555444,노태양,081,하나은행,01,110888777666,오채원,088,신한은행,20250103,20250103150940586235,2,1,100107,0,02,01,41554,0,081,6789,4202716,C000000018,00018,001,프로젝트비용,,U708418
01,110888777666,오채원,088,신한은행,01,110666555444,노태양,081,하나은행,20250103,20250103150940586235,1,1,100108,0,02,01,41554,0,088,0123,15327533,C000000012,00012,002,프로젝트비용,,U518988
01,110888999000,최지훈,088,신한은행,02,ATM3990266789,ATM강남점,088,신한은행,20250710,20250710173053464975,2,1,100109,0,03,02,91923,1,088,2345,1259200,C000000004,00004,001,송금,6288116344626234,U185800
01,110666777888,한지우,011,농협은행,01,110444555666,강민지,020,우리은행,20250319,20250319141941497570,2,1,100110,0,01,01,4587539,0,011,9012,1433456,C000000009,00009,001,선물,,U882430
01,110444555666,강민지,020,우리은행,01,110666777888,한지우,011,농협은행,20250319,20250319141941497570,1,1,100111,0,01,01,4587539,0,020,6789,12436007,C000000006,00006,002,선물,,U247408
01,110333222111,문지훈,004,국민은행,02,ATM5980192932,ATM강남점,004,국민은행,20250906,20250906115120117155,2,1,100112,0,03,02,93253,1,004,3456,4327365,C000000020,00020,001,통신비,3753275481730746,U458024
01,110111000999,권나연,088,신한은행,02,ATM3962811745,ATM강남점,088,신한은행,20251208,20251208163537581347,2,1,100113,0,03,02,2457268,1,088,0123,5080472,C000000017,00017,001,송금,2006414685306598,U581006
01,110777888999,조은비,088,신한은행,02,ATM3546437038,ATM강남점,088,신한은행,20250129,20250129113227905686,2,1,100114,0,03,02,2446516,1,088,9012,1077647,C000000007,00007,001,교육비,9731476278277102,U940591
01,110333444555,임도현,020,우리은행,01,110555444333,서준호,081,하나은행,20250131,20250131172207819976,2,1,100115,0,04,01,10074,0,020,8901,2096275,C000000011,00011,001,컨설팅비,,U657392
01,110555444333,서준호,081,하나은행,01,110333444555,임도현,020,우리은행,20250131,20250131172207819976,1,1,100116,0,04,01,10074,0,081,3456,1699443,C000000013,00013,002,컨설팅비,,U509240
01,110888999000,최지훈,088,신한은행,01,110999000111,송하은,004,국민은행,20250808,20250808113120481732,2,1,100117,0,01,01,71577,0,088,9012,1187623,C000000004,00004,001,대출상환,,U429593
01,110999000111,송하은,004,국민은행,01,110888999000,최지훈,088,신한은행,20250808,20250808113120481732,1,1,100118,0,01,01,71577,0,004,1234,2211542,C000000010,00010,002,대출상환,,U557213
01,110666777888,한지우,011,농협은행,01,110987654321,박영희,004,국민은행,20251003,20251003115439418197,2,1,100119,0,04,01,307576,0,011,0123,1125880,C000000009,00009,001,서비스비용,,U483545
01,110987654321,박영희,004,국민은행,01,110666777888,한지우,011,농협은행,20251003,20251003115439418197,1,1,100120,0,04,01,307576,0,004,2345,2403105,C000000002,00002,002,서비스비용,,U651503
01,110444333222,장민석,020,우리은행,01,110777666555,홍시우,004,국민은행,20250903,20250903164246756487,2,1,100121,0,01,01,83626,0,020,6789,1699895,C000000016,00016,001,투자금,,U363398
01,110777666555,홍시우,004,국민은행,01,110444333222,장민석,020,우리은행,20250903,20250903164246756487,1,1,100122,0,01,01,83626,0,004,2345,1496570,C000000015,00015,002,투자금,,U872699
01,110111222333,정수민,004,국민은행,01,110222111000,안유진,011,농협은행,20250924,20250924141921183691,2,1,100123,0,01,01,1029938,0,004,2345,4709469,C000000005,00005,001,공과금,,U654853
01,110222111000,안유진,011,농협은행,01,110111222333,정수민,004,국민은행,20250924,20250924141921183691,1,1,100124,0,01,01,1029938,0,011,0123,4835049,C000000014,00014,002,공과금,,U267411
01,110666777888,한지우,011,농협은행,02,ATM9995895347,ATM을지로점,011,농협은행,20250813,20250813173112624197,2,1,100125,0,03,02,790193,1,011,9012,335687,C000000009,00009,001,통신비,1409995420047662,U748072
01,110444555666,강민지,020,우리은행,01,110555666777,이민수,020,우리은행,20250904,20250904115201071948,2,1,100126,0,02,01,4185730,0,020,8901,8250277,C000000006,00006,001,상환금,,U723554
01,110555666777,이민수,020,우리은행,01,110444555666,강민지,020,우리은행,20250904,20250904115201071948,1,1,100127,0,02,01,4185730,0,020,7890,12006596,C000000003,00003,002,상환금,,U497485
01,110444333222,장민석,020,우리은행,01,110987654321,박영희,004,국민은행,20250331,20250331133300301410,2,1,100128,0,04,01,1536280,0,020,7890,163615,C000000016,00016,001,공과금,,U874408
01,110987654321,박영희,004,국민은행,01,110444333222,장민석,020,우리은행,20250331,20250331133300301410,1,1,100129,0,04,01,1536280,0,004,2345,3939385,C000000002,00002,002,공과금,,U694956
01,110999000111,송하은,004,국민은행,01,110999888777,배수지,011,농협은행,20250407,20250407173138899470,2,1,100130,0,04,01,247206,0,004,3456,1964336,C000000010,00010,001,부동산거래,,U752227
01,110999888777,배수지,011,농협은행,01,110999000111,송하은,004,국민은행,20250407,20250407173138899470,1,1,100131,0,04,01,247206,0,011,8901,2078944,C000000019,00019,002,부동산거래,,U562381
01,110999888777,배수지,011,농협은행,02,ATM4184189868,ATM명동점,011,농협은행,20251203,20251203115556492414,2,1,100132,0,03,02,27730,1,011,0123,2051214,C000000019,00019,001,임대료,5327854479368931,U436256
01,110888999000,최지훈,088,신한은행,01,110555666777,이민수,020,우리은행,20251229,20251229122856325111,2,1,100133,0,04,01,4109035,0,088,0123,-1431339,C000000004,00004,001,협력금,,U920341
01,110555666777,이민수,020,우리은행,01,110888999000,최지훈,088,신한은행,20251229,20251229122856325111,1,1,100134,0,04,01,4109035,0,020,5678,16115631,C000000003,00003,002,협력금,,U311167
01,110111000999,권나연,088,신한은행,01,110222333444,윤서준,081,하나은행,20250905,20250905112736567424,2,1,100135,0,04,01,487854,0,088,9012,4592618,C000000017,00017,001,생활비지원,,U311993
01,110222333444,윤서준,081,하나은행,01,110111000999,권나연,088,신한은행,20250905,20250905112736567424,1,1,100136,0,04,01,487854,0,081,3456,7275188,C000000008,00008,002,생활비지원,,U116307
01,110999000111,송하은,004,국민은행,01,110222111000,안유진,011,농협은행,20250513,20250513111908350425,2,1,100137,0,04,01,238017,0,004,1234,1726319,C000000010,00010,001,급여이체,,U245159
01,110222111000,안유진,011,농협은행,01,110999000111,송하은,004,국민은행,20250513,20250513111908350425,1,1,100138,0,04,01,238017,0,011,0123,5073066,C000000014,00014,002,급여이체,,U773577
01,110555666777,이민수,020,우리은행,01,110444555666,강민지,020,우리은행,20250701,20250701122418218443,2,1,100139,0,04,01,1416933,0,020,6789,14698698,C000000003,00003,001,부동산거래,,U221767
01,110444555666,강민지,020,우리은행,01,110555666777,이민수,020,우리은행,20250701,20250701122418218443,1,1,100140,0,04,01,1416933,0,020,7890,9667210,C000000006,00006,002,부동산거래,,U461722
